Brand_ID,Brand_Name
A002418,포맨트
A007991,폴메디슨
A001498,퓨어덤
A020169,헤슬
A017798,BOHO
A003924,EGF올로지
A003794,디어달리아
A009971,런드리유
A000458,쌍빠
A014312,아이다
A000111,에비앙
A000045,오우썸
A001245,올리세
A013652,원오브뎀
A017536,웰더마
A014252,유이크
A020344,채운
A000764,트릴로지
A000132,오딧세이
A000029,이자녹스
A010491,게스케
A017778,글로우엠
A010631,글로웍스
A005811,누페이스
A008112,닥터탱글
A020729,듀얼소닉
A003241,라피타
A003696,리스프링
A002409,바나브
A003079,바디스핀
A005032,카사업
A016333,쿼드쎄라
A002746,페이스팩토리
A005272,포레오
A009231,혼바디
A020817,EOA
A020284,LG
A003422,SPUUN
A017635,노프랍
A005013,뉴트리스톰
A003264,니들리
A003232,다자연
A002958,더멀매트릭스
A001768,듀이셀
A021117,디어소녀
A000570,마이뷰티다이어리
A020461,바노바기
A000059,바세린
A003233,바이비드
A015613,베이스킨
A001710,브리스킨
A010552,수아이레
A001678,시루콧토
A003792,아나시스
A003791,알리원
A003390,야다
A003008,약손명가
A011372,어글리러블리
A016175,에가
A020041,이옴
A002516,제로앱솔루
A001292,제이준
A003893,콤마나인
A000711,페이스인페이스
A002784,프란츠
A020444,프렉탈
A012678,프롬리에
A020013,프롬메디
A015493,하우스오브비
A001712,나이팅게일
A004591,바비모
A003427,슈레피
A001522,스트라이덱스
A005232,시초
A005231,아드망
A003729,아페리레
A006693,앱솔룹
A015593,테라비코스
A020734,파믹
A004091,포밤
A013072,넛세린
A017195,메노킨
A001442,미팩토리
A002759,바닐라코
A002359,블라이드
A003747,비알머드
A016854,샤르드
A008731,선덕제주
A000460,스웨디쉬
A014498,써니콘
A012312,유리숲
A008691,이아이오
A003412,인워드
A014174,제트티유
A001319,착한팩토리
A010511,토르홉
A017577,페슬로
A015173,프롬더스킨
A015715,필킨
A004936,본트리
A003242,원데이즈유
A003339,케어플러스
A002646,해서린
A021034,스킷
A001711,에이바자르
A002880,그레이멜린
A000044,뉴트로지나
A011913,닥터벨머
A017736,닥터슈라클
A001047,데저트
A003345,동구밭
A017173,듀댑
A008091,디어도어
A012492,딘시
A003810,라라레서피
A020055,리솔츠
A001560,맥스클리닉
A006694,멘톨로지
A021060,멜라노CC
A015134,모나이트
A013952,바이유어
A015473,비디비치
A021154,비브리즈
A000849,비페스타
A010151,살사랑
A000720,센카
A020945,셀라듀
A002246,수이사이
A003868,씨드비
A000754,아로마티카
A013392,아이레시피
A004573,아토뮤
A002852,에이트루
A014133,오브베이스
A000615,온더바디
A021054,원더바스
A017594,인포디플러스
A000968,일리윤
A003542,잇퍼
A017820,주닥
A017561,직택
A000012,참존
A011433,콴디
A006771,투비건
A000060,포인트앤
A000125,폰즈
A020681,퐁당
A000065,해피바스
A003298,헤이미쉬
A017273,네시픽
A020683,메이영
A017363,바를
A006695,버블리
A016194,베라모어
A000812,비오레
A002678,셀비엔
A009151,소울
A003901,숌
A011812,심플로그
A003525,유리피부
A000066,티스
A009311,하멜
A005514,하트퍼센트
A003859,VDL
A002949,리듀어
A002273,비오텀
A009811,스킨시그널
A011792,히야
A001858,내츄레인
A001707,닥터원더
A001113,데트클리어
A002769,마이달리아
A011952,비프로젝트
A000037,플루
A002165,후르디아
A002921,SRB
A001424,궁중비책
A001833,롬앤
A000700,비엘렌다
A000929,이브로쉐
A000286,키스미
A015933,멜리언스
A020225,누메
A000049,니베아
A003578,닥터바이오
A000908,닥터아토
A002799,닥터올가
A017554,달롭
A000985,더마비
A003383,데이지크
A021040,디오프러스
A003971,라비오뜨
A001494,마데카솔
A003238,멜릭서
A017515,밈즈
A013333,바디언스
A002461,벤튼
A012473,부쉬맨
A017535,브루케시아
A020146,스타라이크
A000909,쏘내추럴
A000278,아넷사
A003903,아도르
A005411,아이레놀
A016633,알리
A003660,어뮤즈
A020020,어테이션
A001685,에끌라두
A002439,에스쁘아
A002903,에이지투웨니스
A020521,오데어
A020376,오버랩스
A016113,제로시피
A018042,차앤맘
A015742,커버서울
A013532,키스
A021093,테이지
A020073,텐제로
A006331,토코보
A004171,톤핏선
A021124,트로이아르케
A002851,티르티르
A015375,포트레
A008591,퓨어멜로우
A021130,해달씨
A002889,홀리카홀리카
A014499,Te’
A011852,두잉왓
A017562,로스트마인드랩
A020961,프레비츠
A002848,마르시끄
A001810,낫포유
A001267,레시피
A003680,오제끄
A012875,나르카
A004751,네이밍
A003506,네츄럴샤인
A014424,노노어
A007111,노베브
A008991,노우라이
A020016,누그레이
A011212,누니
A009292,누즈
A002856,닥터포포
A001836,듀왑
A003753,딘토
A002888,라끌랑
A010933,라부르켓
A001306,라운드어라운드
A002512,라카
A020801,러브플레르
A008411,레미유
A020511,로지킴
A000545,루나
A014332,루미르
A003678,르오에스
A017920,리스키
A020131,리플라이미
A001852,릴리바이레드
A003801,립리프
A000452,마루빌츠
A001860,머지
A001822,메디포포
A011832,메리몽드
A008012,메리쏘드
A000184,멘소래담
A017288,모노프
A020071,모렛
A013753,모브닝
A014421,모우모우
A004311,무지개맨션
A003862,뮤드
A008074,반디
A000471,버츠비
A002832,베네피트
A013772,브레이
A016999,블랑디바
A001301,블리스텍스
A017200,비온타임
A003782,삐아
A000134,세바메드
A001892,세븐피엠
A013752,세잔느
A000831,스웨거
A015994,시미헤이즈뷰티
A002460,시에로
A013097,써랏
A005412,씨스터앤
A013472,아멜리
A003677,아워글래스
A020700,앤드바이롬앤
A014452,앤디얼
A003887,어바웃톤
A010451,언라이프
A001694,언파
A008412,얼터너티브스테레오
A020870,에이쁘
A009331,에이오유
A005591,에크멀
A020601,엔비피시스
A003870,엔트로피
A000112,엘리자베스아덴
A016334,오아드
A013932,오프라
A020153,오헤이오
A020846,원정요
A001240,웨이크메이크
A017340,이글립스
A017735,이더앤
A015335,인스테드
A000135,입큰
A014497,잉가
A003329,자빈드서울
A000197,지베르니
A001054,카멕스
A000648,카밀
A013315,칼앤한스
A001042,캐스키드슨
A000843,캐트리스
A000205,캔메이크
A002712,컬러그램
A000844,케이트
A000992,코드글로컬러
A015717,코랄헤이즈
A012392,코시에로
A000172,클리오
A010912,키보
A003835,키핀터치
A020023,킬릿
A017881,타이니원더
A020277,태오앤더
A017182,투슬래시포
A006696,투에이엔
A002192,투쿨포스쿨
A008111,투크
A001127,트리헛
A008072,팁토우
A017041,파뮤
A017285,패션캣
A020600,페르웨어
A000511,페리페라
A001838,포렌코즈
A017533,폰들리
A006636,푸룻스킨
A004711,퓌
A005851,프레시안
A009611,플르부아
A020152,피몽쉐
A003888,피브
A000564,허바신
A003951,헤트라스
A000953,히말라야
A003414,힌스
A002862,YNM
A001619,3CE
A003724,글린트
A001870,더툴랩
A004831,디어에이
A020033,르넥트
A008073,매드피치
A009391,메이크힐
A008891,무칸
A015995,베어미네랄
A016995,셰르잔느
A015213,심플레인
A001532,아임미미
A002910,어반디케이
A013152,에르보리앙
A016962,인뮤
A003270,잉글롯
A001786,자트인사이트
A020799,커브드
A017560,쿼치
A004331,터치인솔
A014533,티핏
A013314,파이브바이브
A012052,피에이치하비
A020487,핀브
A015996,하밍
A017054,하우스오브허
A003709,RMK
A002761,달리프
A000450,데자뷰
A015534,러브라이너
A017156,로잉즈
A010215,루리디아
A007191,리필드
A016675,릴리이브
A016894,모뉴
A016573,바우로
A000840,뷰티리더
A003583,블레스문
A003487,스틸라
A017157,아던샵
A017154,아이투인
A008171,아헤브
A015353,에이페
A000550,우드버리
A017865,이네트
A000863,인터시스
A007271,치카이치코
A007292,코링코
A017284,콰이어톤
A008791,프로에잇
A002905,피치베리
A020112,그린로댕
A014613,더분
A010852,루이본
A015693,르브와
A001287,리얼테크닉스
A015594,마스카컴퍼니
A020865,미빗
A007171,바디바
A001767,뷰티블렌더
A020787,손보다
A002503,수아도르
A001783,엘프
A003850,오그너스
A020145,올리브영
A003513,왕타
A017860,율세븐
A000058,카이
A020140,툴리프
A013092,파나소닉
A017193,플라리아
A003288,피카소
A002502,필리밀리
A014394,화홍엠
A000030,갸스비
A001740,그린벨
A009871,깜빡
A016944,꽁래쉬
A002348,듀오
A003410,라음파크
A016214,로지피끄
A001455,보다나
A010932,뷰앤디
A000075,시세이도
A003576,실루에뜨
A003321,쓰리쎄븐
A002347,아델
A017194,아이하라
A017580,올리오
A016943,올리쥬
A017601,이야
A017840,저스트썸띵
A016922,클리오네
A012413,틴들
A017183,간소
A002597,더블유비엘
A001282,도루코
A002242,비비또
A000228,씨앤씨
A003269,퓨리케이
A013292,프리티프릭
A016575,그래비티
A001328,라우쉬
A004991,르네휘테르
A009593,리파
A002883,모로칸오일
A003569,민트리
A002604,박준뷰티랩
A014393,브리티시엠
A002694,아베다
A001022,아이캔디
A002941,야오
A020352,에콰
A008271,오끌레르
